db_university,db_major,reason
경북전문대학교,건축과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
경북전문대학교,경찰행정과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
경북전문대학교,물리치료과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
경북전문대학교,보건행정과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
경북전문대학교,소방안전관리과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
경상국립대학교,고분자공학과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
경상국립대학교,교양인문학부,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
경상국립대학교,산림자원학과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
경성대학교,교양공학부,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
경운대학교,교양공학부,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
경운대학교,교양사회과학부,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
경운대학교,교양인문학부,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
경인여자대학교,간호과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
경인여자대학교,경영정보과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
경인여자대학교,관광경영과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
경인여자대학교,관광통역과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
경인여자대학교,교양과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
경인여자대학교,반려동물과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
경인여자대학교,보건행정과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
경인여자대학교,보건환경과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
경일대학교,교양공학부,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
경일대학교,교양인문학부,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
경일대학교,교통공학과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
경일대학교,농공학과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
경희대학교,교양공학부,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
경희대학교,교양사회과학부,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
경희대학교,교양인문학부,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
경희대학교,교양자연과학부,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
경희대학교,러시아어문학과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
경희대학교,약학부,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
경희사이버대학교,경영학과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
경희사이버대학교,관광경영학과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
경희사이버대학교,교양사회과학부,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
경희사이버대학교,교양인문학부,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
경희사이버대학교,국어교육과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
